SMILES	RT
CC(C)C(C(=O)NC(CCCCN)C(=O)NC(CCCN=C(N)N)C(=O)O)N	152.6420953
CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O	120.2632559
CCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	82.17024548
CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O	27.64722275
CCCSSC(=C(C)N(CC1=CN=C(N=C1N)C)C=O)CCO	50.17214358
CSCCC(C(=O)O)NC(=O)C(CC1=CN=CN1)N	124.9212683
CCC=CCC=CCC=CCC=CC=CC(CCCC(=O)O)O	12.7484739
C1=CC(=CC=C1CC(C(=O)NC(CC(=O)O)C(=O)O)N)O	123.0482927
C1C(=O)NC2=C(C=C(C=C2)N)C(=N1)C3=CC=CC=C3Cl	16.66787598
COC1=NC(=NC2=C1NC=N2)N	81.51766829
C(C(C(=O)O)OP(=O)(O)O)O	145.0299989
C1=CC=C(C=C1)/C=C(/C(=O)O)\O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O	29.42524832
C1=C(C=C(C=C1N)O)C(=O)O	75.56031404
CC(=O)C=CC1C2(CCCC(C2C(C(C1(C)O)O)OC(=O)C)(C)C)C	17.12622704
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)O	96.76906782
CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	34.37288311
CCC(C)C(C(=O)O)NC(=O)CNC(=O)C(CC(=O)O)N	123.3617109
C(=CC(=O)O)C(=O)O	22.53054154
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	15.30578378
CC(=O)C1=CC=C(C=C1)NS(=O)(=O)C	127.77045
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(N)C(=O)O	94.21867455
CCC(C)C(C(=O)NC(C(C)C)C(=O)NC(CCCN=C(N)N)C(=O)O)N	126.8709105
C1CC(N(C1)C(=O)CN)C(=O)NC(CCCCN)C(=O)O	143.5198502
CC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C(C(C)O)N	137.4450036
CC1=C(C=C(C=C1)C2OCC3C(O2)C(OC(O3)C4=CC(=C(C=C4)C)C)C(CO)O)C	14.4084559
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	83.25490974
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	37.30623433
CC(=O)NC(CC(=O)N)C(=O)O	112.8862544
CCCCCC=CCC1C(O1)CCCCCCCC(=O)O	12.23464146
CCCCCCCCCCCC(=O)N(C)CC(=O)O	16.68972752
CC(C)CC(C(=O)O)NC(=O)C1CCCN1	104.2345944
C[N+]12CCCCC1C(CCC2)COC(=O)CCN	14.52465102
CC(C(C(=O)O)NC(=O)C(CCC(=O)O)N)O	140.0018215
C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl	32.6783569
CC(C(=O)NCCC(=O)O)N	121.6645003
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)NCC(=O)O)N	103.2134067
C(C(C(C(CO)O)O)O)O	98.02866969
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	19.24549907
C(CCCC(=O)O)CCC(=O)O	19.65817694
CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C	21.83995863
C1=CC=C(C=C1)CNCC2=CC=CC=C2	26.79897038
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO	96.22727585
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O	145.1444568
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	100.2258268
C1=CC(=C(C(=C1)O)O)C(=O)O	28.17752931
CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O	132.4465872
CCC=CC=CC=O	12.99673458
CC(C)C(C(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)N)C(=O)O)N	136.0867093
CC(C)CCCCCCCCCCCCC1=CC(=CC(=C1)OS(=O)(=O)O)OS(=O)(=O)O	68.31694722
CC(C)C(C)C=CC(C)C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C	14.75509735
CCC(C)C(C(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)N	91.74219707
CN(C)C(=N)N=C(N)N	75.20755618
CN1C(CCCC1CC(=O)C2=CC=CC=C2)CC(C3=CC=CC=C3)O	22.03999064
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O	17.58103229
CCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O	81.79752244
C1=CC2=C(C(=C1)O)NC(=O)C=C2	56.24018916
CCC(C)C(C(=O)NC(CCC(=O)O)C(=O)O)N	118.7625581
CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)O	48.29777841
C1=CC(=C(C=C1Cl)Cl)C(CN2C=NC=N2)COC(C(F)F)(F)F	124.2401453
C1=CC(=CC=C1C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F)C(=O)O	16.53103694
CC(C)CC(C(=O)NC(C)C(=O)O)NC(=O)C(CCSC)N	96.0826402
C1=CC(=CC=C1CC(C(=O)NC(CCCCN)C(=O)O)NC(=O)C(CO)N)O	142.0246193
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCCC	61.01727176
CC(CS)C(=O)N1CCCC1C(=O)O	38.80112922
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC=CCC=CCC=CCCCCC	35.31763223
CCCCCCC(CCCC)C1=CC=C(C=C1)S(=O)(=O)O	16.32439783
C(CNCCO)CO	85.14351742
CCC(C)C(C(=O)N1CCCC1C(=O)NC(CO)C(=O)O)N	114.8209928
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CN(C)CCO)O	69.0040653
C1CC2=NCCCN2C1	21.25541224
CCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	41.76202172
C=CCC1=CC=CC=C1OCC(=O)O	13.28503501
C(C(=O)O)S(=O)(=O)CC(=O)O	176.0984511
C1=NC(=C(N1)C(=O)N)N	47.91779912
C(CS(=O)(=O)O)NCC(=O)N	125.6166198
CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	78.54182674
C1=CN=C2C(=N1)C(=O)NC(=N2)N	69.22876855
CCCC=CCC=CCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)CCCCCCCCCCCCCCC	74.71617235
CCC=CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)C=CCCCCCCCCC	38.42186684
C1=CC=C(C=C1)C=CC(=O)NCC(=O)O	41.49889446
C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O	145.1406373
CC(C)C(C(=O)NC(CC(=O)N)C(=O)O)N	125.6896968
C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)O)O)N	15.54161579
CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C	80.45837977
CSCC(C(=O)O)N	130.6839857
CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)O)N	131.4548254
CC(C(=O)O)O	52.28013982
C1=NNC2=C1C(=O)NC(=O)N2	76.37924059
C1=CC=C2C(=C1)N=C(S2)S(=O)(=O)O	17.17681386
CC(C(=O)NC(CCC(=O)O)C(=O)O)N	130.8978472
C(CC(C(=O)O)N)CC(=O)O	124.219209
C1=CC=C(C=C1)C(=O)NC(CCC(=O)O)C(=O)O	100.9836558
CCS(=O)(=O)O	77.33120606
CCC1C(C(=O)NC1CC2=NC(=CC3=C(C(=C(N3)CC4C(C(C(=O)N4)CC)C)C)CCC(=O)O)C(=C2C)CCC(=O)O)C	79.50391674
CC1=C(N=CN1)CSCCNC(=NC)NC#N	45.19151578
CCOP(=O)(OCC)OCC	13.43196983
C[N+]1(CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42)[O-]	13.6053984
CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN	83.31314823
CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)O)NC(=O)C(CO)N	132.5090564
C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O	122.3969161
C1=CC(=C(C(=C1)C(=O)O)O)C=O	80.51064172
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O	30.18252224
CCC=CCC=CCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C	51.39335751
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	69.8485295
COC1=CC=CC(=C1O)O	11.86469034
C(CCC(=O)O)CCC(=O)O	23.16980195
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCC=CCCCCCCCC	86.39612486
C(C(=O)O)P(=O)(O)O	134.3999399
CSCCC(C(=O)NC(CO)C(=O)O)N	119.7895699
CCCCCCCCCCCCCN	24.61644587
CCC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C	78.40212079
C1=CC2=C(C(=C1)C(=O)O)NC=C2	29.1861784
C1=CC=C(C=C1)CCC(CC(=O)C=CC2=CC=CC=C2)O	13.54878316
CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	106.8535553
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)O	77.82593401
C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O	95.22894917
CCCCCC(=O)O	58.2
