epoch:0	train_MAE:68.3570162521815	test_MAE:59.55296956806283	test_MadAE:55.663787841796875	test_MRE:0.8076012134552002	test_RMSE:75.28101348876953	test_R^2:-1.6869211196899414
epoch:1	train_MAE:64.03430410122164	test_MAE:55.550827266034034	test_MadAE:46.77582550048828	test_MRE:0.7180426716804504	test_RMSE:71.92338562011719	test_R^2:-1.4525854587554932
epoch:2	train_MAE:60.97996655031995	test_MAE:52.76465355039267	test_MadAE:42.6783447265625	test_MRE:0.6817154288291931	test_RMSE:69.22921752929688	test_R^2:-1.2722845077514648
epoch:3	train_MAE:58.497645796974986	test_MAE:50.70396862729058	test_MadAE:42.474998474121094	test_MRE:0.6775350570678711	test_RMSE:66.88458251953125	test_R^2:-1.1209759712219238
epoch:4	train_MAE:56.489147033158815	test_MAE:49.31837471367801	test_MadAE:39.2037239074707	test_MRE:0.697503387928009	test_RMSE:64.91038513183594	test_R^2:-0.9976158142089844
epoch:5	train_MAE:54.91743928155905	test_MAE:48.46619866655759	test_MadAE:35.58214569091797	test_MRE:0.7409175038337708	test_RMSE:63.23731994628906	test_R^2:-0.8959671258926392
epoch:6	train_MAE:53.88796175101803	test_MAE:48.11224844568063	test_MadAE:37.48628234863281	test_MRE:0.7895153760910034	test_RMSE:62.041927337646484	test_R^2:-0.8249639272689819
epoch:7	train_MAE:53.16721204188482	test_MAE:47.995674492801044	test_MadAE:36.4932861328125	test_MRE:0.8383791446685791	test_RMSE:61.20975112915039	test_R^2:-0.7763352394104004
epoch:8	train_MAE:52.58793266433973	test_MAE:47.90322828043194	test_MadAE:35.49441909790039	test_MRE:0.8889558911323547	test_RMSE:60.56511688232422	test_R^2:-0.7391167879104614
epoch:9	train_MAE:52.232007162594535	test_MAE:47.89710814790576	test_MadAE:36.24993896484375	test_MRE:0.927756667137146	test_RMSE:60.224395751953125	test_R^2:-0.7196048498153687
epoch:10	train_MAE:51.921275087260035	test_MAE:47.924906945353406	test_MadAE:37.283973693847656	test_MRE:0.9810035824775696	test_RMSE:59.939849853515625	test_R^2:-0.7033933401107788
epoch:11	train_MAE:51.78447225858057	test_MAE:48.03325936681937	test_MadAE:39.79365539550781	test_MRE:1.0214523077011108	test_RMSE:59.8435173034668	test_R^2:-0.6979228258132935
epoch:12	train_MAE:51.730357402559626	test_MAE:48.02439872382199	test_MadAE:39.65788650512695	test_MRE:1.0263220071792603	test_RMSE:59.793853759765625	test_R^2:-0.6951072216033936
epoch:13	train_MAE:51.563022651250726	test_MAE:47.882132485274866	test_MadAE:39.76754379272461	test_MRE:1.0222727060317993	test_RMSE:59.59862518310547	test_R^2:-0.6840553283691406
epoch:14	train_MAE:51.14787394560791	test_MAE:47.34207808409686	test_MadAE:35.44489669799805	test_MRE:0.960601270198822	test_RMSE:59.067081451416016	test_R^2:-0.6541494131088257
epoch:15	train_MAE:50.20729257562537	test_MAE:46.74622668520942	test_MadAE:35.56439971923828	test_MRE:0.94957435131073	test_RMSE:58.08393478393555	test_R^2:-0.599542498588562
epoch:16	train_MAE:48.9856429973822	test_MAE:45.602109579515705	test_MadAE:32.86248016357422	test_MRE:0.8899757266044617	test_RMSE:56.95899200439453	test_R^2:-0.5381847620010376
epoch:17	train_MAE:47.903723094822574	test_MAE:44.92229937009162	test_MadAE:32.60767364501953	test_MRE:0.8910755515098572	test_RMSE:55.99573516845703	test_R^2:-0.48659825325012207
epoch:18	train_MAE:46.645696989528794	test_MAE:44.93173776996073	test_MadAE:38.004180908203125	test_MRE:1.0615589618682861	test_RMSE:54.69074630737305	test_R^2:-0.41811561584472656
epoch:19	train_MAE:45.1507371655032	test_MAE:44.13943880890052	test_MadAE:39.05403137207031	test_MRE:1.1190803050994873	test_RMSE:53.551544189453125	test_R^2:-0.35965192317962646
epoch:20	train_MAE:43.25365855875509	test_MAE:42.8418914635144	test_MadAE:39.07426452636719	test_MRE:1.128570318222046	test_RMSE:51.90256118774414	test_R^2:-0.27720654010772705
epoch:21	train_MAE:41.91626672484002	test_MAE:41.56393927928665	test_MadAE:36.14850997924805	test_MRE:1.0411438941955566	test_RMSE:50.247650146484375	test_R^2:-0.19705820083618164
epoch:22	train_MAE:40.393574570971495	test_MAE:40.51883334015052	test_MadAE:36.29496765136719	test_MRE:1.0848488807678223	test_RMSE:49.06490707397461	test_R^2:-0.14136826992034912
epoch:23	train_MAE:38.6495873327516	test_MAE:39.430418643651834	test_MadAE:35.2952880859375	test_MRE:1.1148416996002197	test_RMSE:47.68784713745117	test_R^2:-0.07819962501525879
epoch:24	train_MAE:36.732652523269344	test_MAE:37.799612954024866	test_MadAE:34.22052001953125	test_MRE:1.0511139631271362	test_RMSE:46.19851303100586	test_R^2:-0.01190495491027832
epoch:25	train_MAE:35.06561772833042	test_MAE:35.885813767997384	test_MadAE:30.808120727539062	test_MRE:0.9433586001396179	test_RMSE:44.34164810180664	test_R^2:0.06780362129211426
epoch:26	train_MAE:33.65829515706806	test_MAE:34.2555168111911	test_MadAE:29.222442626953125	test_MRE:0.9019831418991089	test_RMSE:42.84508514404297	test_R^2:0.12966632843017578
epoch:27	train_MAE:32.680791884816756	test_MAE:34.09321314626963	test_MadAE:27.443294525146484	test_MRE:1.046438217163086	test_RMSE:43.70256042480469	test_R^2:0.09448122978210449
epoch:28	train_MAE:31.61254953824898	test_MAE:32.194210671629584	test_MadAE:25.43718719482422	test_MRE:0.9297335743904114	test_RMSE:40.75222396850586	test_R^2:0.21261626482009888
epoch:29	train_MAE:30.01505917321117	test_MAE:30.012506135471206	test_MadAE:24.40163230895996	test_MRE:0.7713494300842285	test_RMSE:38.29441452026367	test_R^2:0.3047279715538025
epoch:30	train_MAE:29.52446007853403	test_MAE:29.418255071989527	test_MadAE:24.130691528320312	test_MRE:0.7764482498168945	test_RMSE:37.48670196533203	test_R^2:0.333748459815979
epoch:31	train_MAE:28.062959024141943	test_MAE:27.78919287876309	test_MadAE:23.22987937927246	test_MRE:0.7065041661262512	test_RMSE:35.912757873535156	test_R^2:0.3885212540626526
epoch:32	train_MAE:28.412512725421756	test_MAE:28.068924349640053	test_MadAE:22.9971981048584	test_MRE:0.6846494674682617	test_RMSE:36.067710876464844	test_R^2:0.38323312997817993
epoch:33	train_MAE:28.80234693135544	test_MAE:29.549710098985603	test_MadAE:23.23076629638672	test_MRE:0.861049473285675	test_RMSE:37.255645751953125	test_R^2:0.3419364094734192
epoch:34	train_MAE:26.380001545229785	test_MAE:26.26004172120419	test_MadAE:20.05284881591797	test_MRE:0.645369827747345	test_RMSE:34.168060302734375	test_R^2:0.4464912414550781
epoch:35	train_MAE:28.402348294793484	test_MAE:29.47401116655759	test_MadAE:25.064128875732422	test_MRE:0.855657696723938	test_RMSE:37.078041076660156	test_R^2:0.34819555282592773
epoch:36	train_MAE:26.135128072280395	test_MAE:25.75911117473822	test_MadAE:19.345672607421875	test_MRE:0.5995310544967651	test_RMSE:34.12913131713867	test_R^2:0.44775211811065674
epoch:37	train_MAE:25.44921875	test_MAE:26.022688461223822	test_MadAE:18.885520935058594	test_MRE:0.650862991809845	test_RMSE:33.829368591308594	test_R^2:0.4574100375175476
epoch:38	train_MAE:26.36307218949971	test_MAE:27.60162896760471	test_MadAE:21.98955535888672	test_MRE:0.7615854740142822	test_RMSE:35.140419006347656	test_R^2:0.414539635181427
epoch:39	train_MAE:25.096531413612567	test_MAE:25.461377208769633	test_MadAE:18.216110229492188	test_MRE:0.6021870970726013	test_RMSE:33.755062103271484	test_R^2:0.459791362285614
epoch:40	train_MAE:24.746900450843512	test_MAE:25.540519674410994	test_MadAE:17.66307258605957	test_MRE:0.6389448046684265	test_RMSE:33.38998031616211	test_R^2:0.4714135527610779
epoch:41	train_MAE:24.573162085514834	test_MAE:24.86171159195026	test_MadAE:17.833255767822266	test_MRE:0.5735648274421692	test_RMSE:33.13423538208008	test_R^2:0.4794796109199524
epoch:42	train_MAE:24.2736738292612	test_MAE:25.21628814217932	test_MadAE:17.844459533691406	test_MRE:0.6324344873428345	test_RMSE:32.8769416809082	test_R^2:0.4875320792198181
epoch:43	train_MAE:24.048506580860966	test_MAE:24.83693962696335	test_MadAE:16.28636932373047	test_MRE:0.6178045868873596	test_RMSE:32.7901611328125	test_R^2:0.4902341365814209
epoch:44	train_MAE:24.535637998109365	test_MAE:24.794929544339006	test_MadAE:16.72637176513672	test_MRE:0.560013473033905	test_RMSE:33.02131652832031	test_R^2:0.4830213785171509
epoch:45	train_MAE:23.999300101803374	test_MAE:25.10032773642016	test_MadAE:16.96906280517578	test_MRE:0.6509655714035034	test_RMSE:33.178627014160156	test_R^2:0.47808384895324707
epoch:46	train_MAE:23.65496836823735	test_MAE:24.280996911812828	test_MadAE:16.016868591308594	test_MRE:0.5752056837081909	test_RMSE:32.52849578857422	test_R^2:0.49833738803863525
epoch:47	train_MAE:23.469120400668995	test_MAE:24.26329352094241	test_MadAE:16.090280532836914	test_MRE:0.6028115749359131	test_RMSE:32.23353958129883	test_R^2:0.5073935985565186
epoch:48	train_MAE:24.49306918993601	test_MAE:26.034831581315444	test_MadAE:19.1671142578125	test_MRE:0.714087188243866	test_RMSE:33.5611572265625	test_R^2:0.4659799337387085
epoch:49	train_MAE:23.63661876454334	test_MAE:24.194877904123036	test_MadAE:16.73440933227539	test_MRE:0.5636433959007263	test_RMSE:32.1812858581543	test_R^2:0.508989691734314
